IATA,id,name,city,country,ICAO,latitude,longitude,altitude,timezone,dst,tz,CRIMINAL ACTORS (AVERAGE),MAFIA-STYLE GROUPS,CRIMINAL NETWORKS,STATE-EMBEDDED ACTORS,FOREIGN ACTORS,CRIMINAL MARKETS (AVERAGE),HUMAN TRAFFICKING,HUMAN SMUGGLING,ARMS TRAFFICKING,FLORA CRIMES,FAUNA CRIMES,"NON-RENEWABLE
NON-RENEWABLE RESOURCE CRIMES",HEROIN TRADE,COCAINE TRADE,CANNABIS TRADE,SYNTHETIC DRUG TRADE,RESILIENCE (AVERAGE),POLITICAL LEADERSHIP AND GOVERNANCE,GOVERNMENT TRANSPARENCY AND ACCOUNTABILITY,INTERNATIONAL COOPERATION,NATIONAL POLICIES AND LAWS,JUDICIAL SYSTEM AND DETENTION,LAW ENFORCEMENT,TERRITORIAL INTEGRITY,ANTI-MONEY LAUNDERING SYSTEMS,ECONOMIC REGULATORY CAPACITY,VICTIM AND WITNESS SUPPORT,PREVENTION,NON-STATE ACTORS,population,in_cites_2021,in_cites_2016,in_cites_2017,in_cites_2018,in_cites_2019,in_cites_2020,degree_full,between_full,close_full,eigen_full,pr_full,degree_in_full,degree_out_full,label,confidence
KZN,2990,Kazan International Airport,Kazan,russia,UWKD,55.60620117,49.27870178,411,3,N,Europe/Moscow,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1143535,1,0,0,0,0,0,0.010351967,3.42E-06,0.086628644,0.001185728,0.000266165,0.001035197,0.00931677,false_positive,0.55
ASF,2966,Astrakhan Airport,Astrakhan,russia,URWA,46.28329849,48.00630188,-65,4,N,Europe/Samara,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,520339,1,0,0,0,0,0,0.004140787,1.10E-06,0.086628644,0.001188561,0.000263498,0.001035197,0.00310559,false_positive,0.58
KGD,2952,Khrabrovo Airport,Kaliningrad,russia,UMKK,54.88999939,20.59259987,42,2,N,Europe/Kaliningrad,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,431402,1,0,0,0,0,0,0.004140787,3.67E-06,0.086747844,0.001185728,0.00032206,0.001035197,0.00310559,false_positive,0.51
LED,2948,Pulkovo Airport,St. Petersburg,russia,ULLI,59.8003006,30.26250076,78,3,N,Europe/Moscow,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,4879566,1,0,0,0,0,0,0.052277433,0.002899639,0.08716764,0.001724043,0.000545327,0.005693582,0.046583851,false_positive,0.82
SVX,2975,Koltsovo Airport,Yekaterinburg,russia,USSS,56.74309921,60.80270004,764,5,N,Asia/Yekaterinburg,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1350136,1,0,0,0,0,0,0.026397516,0.000785421,0.087227943,0.001585716,0.00036802,0.004140787,0.022256729,false_positive,0.83
NJC,2972,Nizhnevartovsk Airport,Nizhnevartovsk,russia,USNN,60.94929886,76.4835968,177,5,N,Asia/Yekaterinburg,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,251694,1,0,0,0,0,0,0.004140787,0.000503117,0.087047285,0.001330163,0.000479082,0.002070393,0.002070393,false_positive,0.64
IKT,2937,Irkutsk Airport,Irkutsk,russia,UIII,52.26800156,104.3889999,1675,8,N,Asia/Irkutsk,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,587225,1,0,0,0,0,0,0.010869565,0.000371472,0.086777696,0.001253992,0.000368268,0.001552795,0.00931677,false_positive,0.55
YKS,2923,Yakutsk Airport,Yakutsk,russia,UEEE,62.09329987,129.7709961,325,9,N,Asia/Yakutsk,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,269601,1,0,0,0,0,0,0.007246377,0.000510494,0.08716764,0.001343344,0.000490868,0.002587992,0.004658385,false_positive,0.79
OUA,246,Ouagadougou Airport,Ouagadougou,burkina faso,DFFD,12.3532,-1.51242,1037,0,N,Africa/Ouagadougou,5.63,3.5,6.5,6.5,6,5.35,6,4,8,4,6,8.5,4,4,3,6,3.63,3.5,4,5.5,5,4,3,3,3,3,2.5,2,5,2453496,1,0,0,0,0,0,0.003623188,6.23E-07,0.000517598,2.16E-31,0.000258489,0.000517598,0.00310559,false_positive,0.785
GYE,2673,José Joaquín de Olmedo International Airport,Guayaquil,ecuador,SEGU,-2.15741992,-79.88359833,19,-5,U,America/Guayaquil,6.5,6.5,5.5,6.5,7.5,6,6,5.5,7.5,6,6,6.5,6,7,4,5.5,5.71,5,5.5,6,6.5,5.5,6,4.5,7,5.5,5,5,7,2698077,1,0,0,0,0,0,0.00931677,0.000576692,0.062358057,7.83E-06,0.000281346,0.001552795,0.007763975,false_positive,0.81
UIO,2688,Mariscal Sucre International Airport,Quito,ecuador,SEQM,-0.129166667,-78.3575,7841,-5,U,America/Guayaquil,6.5,6.5,5.5,6.5,7.5,6,6,5.5,7.5,6,6,6.5,6,7,4,5.5,5.71,5,5.5,6,6.5,5.5,6,4.5,7,5.5,5,5,7,2011388,1,0,0,0,0,0,0.009834369,0.000576717,0.062358057,7.83E-06,0.000282293,0.001552795,0.008281573,false_positive,0.73
CLO,2715,Alfonso Bonilla Aragon International Airport,Cali,colombia,SKCL,3.54322,-76.3816,3162,-5,U,America/Bogota,8.13,9.5,9,7,7,7.2,7.5,7,8,6,7,9,5,9.5,8,5,5.83,7,5.5,9,7,5.5,6,4.5,6,5,3.5,4.5,6.5,2227642,1,0,0,0,0,0,0.007246377,0.000194511,0.062388912,8.22E-06,0.0002973,0.002070393,0.005175983,false_positive,0.69
SCY,6045,San Cristóbal Airport,San Cristóbal,ecuador,SEST,-0.910206,-89.617401,62,-6,U,Pacific/Galapagos,6.5,6.5,5.5,6.5,7.5,6,6,5.5,7.5,6,6,6.5,6,7,4,5.5,5.71,5,5.5,6,6.5,5.5,6,4.5,7,5.5,5,5,7,6000,1,0,0,0,0,0,0.000517598,0,0.053320487,3.92E-07,0.00026278,0.000517598,0,false_positive,0.660833333
BOD,1264,Bordeaux-Mérignac Airport,Bordeaux,france,LFBD,44.82830048,-0.715556026,162,1,E,Europe/Paris,5.63,6,6.5,3,7,5.7,6,6.5,6,4,5.5,4.5,6,6.5,6.5,5.5,6.83,6,7,8.5,7.5,6.5,7,5,8,8,5,6.5,7,235891,1,1,1,1,1,0,0.025879917,0.004181234,0.097028081,0.006388059,0.000363048,0.001552795,0.024327122,false_positive,0.9
LPA,1054,Gran Canaria Airport,Gran Canaria,spain,GCLP,27.93190002,-15.38659954,78,0,E,Atlantic/Canary,6.25,6,6.5,5,7.5,5.3,7,7,4,3.5,5,2,6.5,7,7,4,6.63,6,6,8,8,7,8,5.5,6.5,6,6.5,5,7,870595,1,1,1,1,1,0,0.045031056,0.004135445,0.106358492,0.0330484,0.00051226,0.007246377,0.037784679,false_positive,0.85
LCA,1197,Larnaca International Airport,Larnaca,cyprus,LCLK,34.87509918,33.62490082,8,2,E,Asia/Nicosia,4.88,3.5,5,4,7,3.5,5.5,6,2.5,2.5,3,2,2,4.5,4,3,4.42,5,5,6.5,6,4,5.5,3,3,3.5,4,3.5,4,51468,1,1,1,1,1,0,0.025879917,0.000154654,0.087107421,0.001370557,0.000265137,0.002070393,0.023809524,false_positive,0.51
TFS,1056,Tenerife South Airport,Tenerife,spain,GCTS,28.04450035,-16.57250023,209,0,E,Atlantic/Canary,6.25,6,6.5,5,7.5,5.3,7,7,4,3.5,5,2,6.5,7,7,4,6.63,6,6,8,8,7,8,5.5,6.5,6,6.5,5,7,966354,1,1,1,1,1,0,0.046066253,0.002066691,0.109356454,0.036239155,0.000534042,0.00931677,0.036749482,false_positive,0.54
ARN,737,Stockholm-Arlanda Airport,Stockholm,sweden,ESSA,59.65190125,17.91860008,137,1,E,Europe/Stockholm,4.88,5.5,5.5,2.5,6,4.25,4.5,5.5,6,2,3.5,2,4,4.5,5,5.5,7.46,7,9,8.5,7,7,6.5,8,7.5,7.5,6,7,8.5,975551,1,1,1,1,1,0,0.054347826,0.002396977,0.084509378,0.002028629,0.000267241,0.002587992,0.051759834,false_positive,0.87
TRF,664,"Sandefjord Airport, Torp",Sandefjord,norway,ENTO,59.18669891,10.25860024,286,1,E,Europe/Oslo,3.63,4.5,4,2,4,4,5,3.5,3.5,2.5,4,3.5,5,4.5,4,4.5,7.92,8,8.5,9,8.5,8,8.5,8,7,7.5,7.5,7,7.5,64345,1,1,0,1,0,0,0.019668737,0.001044091,0.097327666,0.024735673,0.000465503,0.005693582,0.013975155,false_positive,0.54
OSL,644,Oslo Lufthavn,Oslo,norway,ENGM,60.121,11.0502,681,1,E,Europe/Oslo,3.63,4.5,4,2,4,4,5,3.5,3.5,2.5,4,3.5,5,4.5,4,4.5,7.92,8,8.5,9,8.5,8,8.5,8,7,7.5,7.5,7,7.5,697010,1,1,0,1,0,0,0.051759834,0.005870503,0.101889286,0.028474366,0.001042724,0.007763975,0.043995859,false_positive,0.86
BXU,4200,Bancasi Airport,Butuan,philippines,RPME,8.9515,125.4788,141,8,N,Asia/Manila,7.38,8,6,8,7.5,6.3,7,5,7.5,7,7.5,8,4,3.5,4.5,9,4.13,3,3,5,5,4.5,2,4,5,6,5,4,3,298378,1,1,1,1,1,0,0.001035197,0,0.077856123,0.000198803,0.000253868,0.000517598,0.000517598,false_positive,0.525702381
DGT,2425,Sibulan Airport,Dumaguete,philippines,RPVD,9.333709717,123.3000031,15,8,N,Asia/Manila,7.38,8,6,8,7.5,6.3,7,5,7.5,7,7.5,8,4,3.5,4.5,9,4.13,3,3,5,5,4.5,2,4,5,6,5,4,3,116392,1,1,1,1,1,0,0.001035197,0,0.077856123,0.000198803,0.000253868,0.000517598,0.000517598,false_positive,0.525702381
MPH,2426,Godofredo P. Ramos Airport,Caticlan,philippines,RPVE,11.9245,121.954002,7,8,N,Asia/Manila,7.38,8,6,8,7.5,6.3,7,5,7.5,7,7.5,8,4,3.5,4.5,9,4.13,3,3,5,5,4.5,2,4,5,6,5,4,3,8223,1,1,1,1,1,0,0.001035197,0,0.077856123,0.000198803,0.000253868,0.000517598,0.000517598,false_positive,0.59884127
OZC,4204,Labo Airport,Ozamis,philippines,RPMO,8.178509712,123.8420029,75,8,N,Asia/Manila,7.38,8,6,8,7.5,6.3,7,5,7.5,7,7.5,8,4,3.5,4.5,9,4.13,3,3,5,5,4.5,2,4,5,6,5,4,3,123137,1,1,1,1,1,0,0.001035197,0,0.077856123,0.000198803,0.000253868,0.000517598,0.000517598,false_positive,0.609349206
PPS,2433,Puerto Princesa Airport,Puerto Princesa,philippines,RPVP,9.742119789,118.7590027,71,8,N,Asia/Manila,7.38,8,6,8,7.5,6.3,7,5,7.5,7,7.5,8,4,3.5,4.5,9,4.13,3,3,5,5,4.5,2,4,5,6,5,4,3,210508,1,1,1,1,1,0,0.001035197,0,0.077856123,0.000198803,0.000253868,0.000517598,0.000517598,false_positive,0.525702381
ZAM,2404,Zamboanga International Airport,Zamboanga,philippines,RPMZ,6.922420025,122.0599976,33,8,N,Asia/Manila,7.38,8,6,8,7.5,6.3,7,5,7.5,7,7.5,8,4,3.5,4.5,9,4.13,3,3,5,5,4.5,2,4,5,6,5,4,3,774407,1,1,1,1,1,0,0.001035197,0,0.077760094,0.000198803,0.000253868,0.000517598,0.000517598,false_positive,0.609349206
PMW,4214,Brigadeiro Lysias Rodrigues Airport,Palmas,brazil,SBPJ,-10.29150009,-48.35699844,774,-3,S,America/Fortaleza,6.5,7.5,6.5,8.5,3.5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,5.04,3,4.5,7.5,4.5,3,5,5.5,6,6,5,4,6.5,51755,1,1,1,1,1,0,0.001552795,0,0.066854715,3.96E-05,0.000279269,0.000517598,0.001035197,false_positive,0.642444444
SSA,2621,Deputado Luiz Eduardo Magalhães International Airport,Salvador,brazil,SBSV,-12.9086113,-38.32249832,64,-3,S,America/Fortaleza,6.5,7.5,6.5,8.5,3.5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,5.04,3,4.5,7.5,4.5,3,5,5.5,6,6,5,4,6.5,2886698,1,1,1,1,1,0,0.016045549,0.001131249,0.07975205,0.00033298,0.000468225,0.002070393,0.013975155,false_positive,0.84
CGB,2548,Marechal Rondon Airport,Cuiaba,brazil,SBCY,-15.65289974,-56.11669922,617,-4,S,America/Campo_Grande,6.5,7.5,6.5,8.5,3.5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,5.04,3,4.5,7.5,4.5,3,5,5.5,6,6,5,4,6.5,618124,1,1,1,1,1,0,0.00931677,0.001257471,0.076859489,0.000263701,0.000560927,0.002070393,0.007246377,false_positive,0.72
CGR,2538,Campo Grande Airport,Campo Grande,brazil,SBCG,-20.46870041,-54.67250061,1833,-4,S,America/Campo_Grande,6.5,7.5,6.5,8.5,3.5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,5.04,3,4.5,7.5,4.5,3,5,5.5,6,6,5,4,6.5,796252,1,1,1,1,1,0,0.005693582,0.00018838,0.080132184,0.000381388,0.000400199,0.002587992,0.00310559,false_positive,0.62
UBA,2635,Mário de Almeida Franco Airport,Uberaba,brazil,SBUR,-19.76472282,-47.96611023,2655,-3,S,America/Sao_Paulo,6.5,7.5,6.5,8.5,3.5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,5.04,3,4.5,7.5,4.5,3,5,5.5,6,6,5,4,6.5,337092,1,1,1,1,1,0,0.002070393,2.23E-07,0.076649235,0.000222127,0.000290962,0.001035197,0.001035197,false_positive,0.569166667
VDC,6039,Vitória da Conquista Airport,Vitória Da Conquista,brazil,SBQV,-14.86279964,-40.86309814,3002,-3,S,America/Fortaleza,6.5,7.5,6.5,8.5,3.5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,5.04,3,4.5,7.5,4.5,3,5,5.5,6,6,5,4,6.5,341128,1,1,1,1,1,0,0.001552795,0,0.069260089,5.27E-05,0.000270711,0.001035197,0.000517598,false_positive,0.642444444
BJL,1050,Banjul International Airport,Banjul,gambia,GBYD,13.3380003,-16.6522007,95,0,N,Africa/Banjul,4.5,1,6.5,6.5,4,5.15,7,5,2.5,7,3.5,4.5,4.5,6.5,7,4,5,5,5,4.5,5,5,5.5,6.5,5.5,5.5,2.5,3.5,6.5,31301,1,0,0,0,0,0,0.00310559,0.000281983,0.085137064,0.003630584,0.000256194,0.001035197,0.002070393,false_positive,0.71
OXB,5665,Osvaldo Vieira International Airport,Bissau,guinea-bissau,GGOV,11.89480019,-15.65369987,129,0,N,Africa/Bissau,6,1,8,8.5,6.5,4.9,5.5,2.5,5.5,8.5,5.5,1,5,8,5.5,2,2.42,2,2.5,3,3,3,3,3,2.5,1.5,1,1.5,3,492004,1,0,0,0,0,0,0.001552795,0,0.068975925,0.000181839,0.000301305,0.000517598,0.001035197,false_positive,0.87
JED,2072,King Abdulaziz International Airport,Jeddah,saudi arabia,OEJN,21.6796,39.156502,48,3,U,Asia/Riyadh,5.13,3,6.5,8,3,6.9,8.5,7.5,8,5,7,7,6.5,5.5,6.5,7.5,4.29,3,3.5,5,4.5,3,4.5,5,5.5,5,4.5,5,3,3976000,1,0,0,0,0,0,0.039337474,0.000774478,0.09093977,0.001929418,0.000305516,0.002587992,0.036749482,false_positive,0.69
MGQ,5687,Aden Adde International Airport,Mogadishu,somalia,HCMM,2.01444006,45.30469894,29,3,U,Africa/Mogadishu,7.13,9.5,7.5,7,4.5,4.45,8,7.5,8.5,6,4.5,2,2,2,2,2,6,5,5,7,6.5,5.5,6,6,5.5,6,5.5,5.5,6,2120000,1,0,0,1,1,1,0.001552795,0.00050647,0.077904227,0.000222766,0.000603063,0.000517598,0.001035197,false_positive,0.623333333
OLB,1520,Olbia Costa Smeralda Airport,Olbia,italy,LIEO,40.898701,9.51763,37,1,E,Europe/Rome,6.38,9,3,6.5,7,5.25,7,6.5,5.5,2.5,3.5,5.5,4.5,7.5,5,5,6.29,6.5,5,8.5,8,5,7.5,6.5,5.5,5,5.5,5.5,7,60345,1,1,1,1,1,0,0.013975155,3.53E-05,0.098275909,0.006378306,0.000273334,0.003623188,0.010351967,false_positive,0.65
ZAD,1209,Zadar Airport,Zadar,croatia,LDZD,44.108299,15.3467,289,1,E,Europe/Zagreb,5.38,4,6.5,6.5,4.5,4.75,4.5,6,3.5,5,2.5,4.5,5,5.5,5.5,5.5,5.58,5,5.5,6.5,6,5,6,6.5,6.5,4.5,5.5,5,5,75082,1,1,1,1,1,0,0.008799172,1.49E-06,0.086302527,0.00144767,0.000251868,0.001035197,0.007763975,false_positive,0.62
FLL,3533,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,united states,KFLL,26.072599,-80.152702,9,-5,A,America/New_York,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,182595,1,1,1,0,0,0,0.048654244,0.002123245,0.106493236,0.010783292,0.000312385,0.005175983,0.043478261,false_positive,0.91
TPA,3646,Tampa International Airport,Tampa,united states,KTPA,27.97550011,-82.53320313,26,-5,A,America/New_York,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,392890,1,1,1,0,0,0,0.033643892,0.000311628,0.106448283,0.01048976,0.000294672,0.004658385,0.028985507,false_positive,0.52
MCO,3878,Orlando International Airport,Orlando,united states,KMCO,28.42939949,-81.30899811,96,-5,A,America/New_York,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,285713,1,1,1,0,0,0,0.049689441,0.001664061,0.107675484,0.011371876,0.000360998,0.00621118,0.043478261,false_positive,0.81
BGY,1525,Il Caravaggio International Airport,Bergamo,italy,LIME,45.673901,9.70417,782,1,E,Europe/Rome,6.38,9,3,6.5,7,5.25,7,6.5,5.5,2.5,3.5,5.5,4.5,7.5,5,5,6.29,6.5,5,8.5,8,5,7.5,6.5,5.5,5,5.5,5.5,7,122243,1,1,1,1,1,0,0.038819876,0.000273908,0.090482951,0.007197591,0.000295246,0.00310559,0.035714286,false_positive,0.96
CGN,344,Cologne Bonn Airport,Cologne,germany,EDDK,50.86589813,7.142739773,302,1,E,Europe/Berlin,5,5,6.5,2,6.5,4.8,5.5,7,6,1.5,3.5,2.5,4.5,6.5,5,6,7.67,7,7.5,8,8,7.5,7.5,9,6.5,7,8,8,8,1017155,1,1,1,1,1,0,0.042960663,0.000465397,0.099792633,0.013930526,0.000439161,0.009834369,0.033126294,false_positive,0.91
CUF,1534,Cuneo International Airport,Cuneo,italy,LIMZ,44.547001,7.62322,1267,1,E,Europe/Rome,6.38,9,3,6.5,7,5.25,7,6.5,5.5,2.5,3.5,5.5,4.5,7.5,5,5,6.29,6.5,5,8.5,8,5,7.5,6.5,5.5,5,5.5,5.5,7,56281,1,1,1,1,1,0,0.001035197,6.03E-07,0.081822188,0.000513045,0.000262245,0.000517598,0.000517598,false_positive,0.51
LYS,1335,Lyon Saint-Exupéry Airport,Lyon,france,LFLL,45.725556,5.081111,821,1,E,Europe/Paris,5.63,6,6.5,3,7,5.7,6,6.5,6,4,5.5,4.5,6,6.5,6.5,5.5,6.83,6,7,8.5,7.5,6.5,7,5,8,8,5,6.5,7,720890,1,1,1,1,1,0,0.035196687,0.002230454,0.107308929,0.014643524,0.000412535,0.006728778,0.028467909,false_positive,0.66
TSF,1539,Treviso-Sant'Angelo Airport,Treviso,italy,LIPH,45.648399,12.1944,59,1,E,Europe/Rome,6.38,9,3,6.5,7,5.25,7,6.5,5.5,2.5,3.5,5.5,4.5,7.5,5,5,6.29,6.5,5,8.5,8,5,7.5,6.5,5.5,5,5.5,5.5,7,85760,1,1,1,1,1,0,0.019151139,3.13E-05,0.093088218,0.004650861,0.000287316,0.002587992,0.016563147,false_positive,0.79
PMI,3998,Palma De Mallorca Airport,Palma de Mallorca,spain,LEPA,39.55170059,2.738810062,27,1,E,Europe/Madrid,6.25,6,6.5,5,7.5,5.3,7,7,4,3.5,5,2,6.5,7,7,4,6.63,6,6,8,8,7,8,5.5,6.5,6,6.5,5,7,407648,1,1,1,1,1,0,0.064699793,0.002103776,0.11212805,0.045762912,0.000751357,0.018115942,0.046583851,false_positive,0.66
AUA,2895,Queen Beatrix International Airport,Oranjestad,aruba,TNCA,12.5014,-70.015198,60,-4,U,America/Aruba,5.5,5,6,5.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,6,5,5,7,6.5,5.5,6,6,5.5,6,5.5,5.5,6,34980,0,0,0,0,0,0,0.009834369,4.42E-05,0.093955284,0.002478047,0.000267879,0.002070393,0.007763975,false_positive,0.73
MAR,2848,La Chinita International Airport,Maracaibo,venezuela,SVMC,10.55820847,-71.7278595,239,-4,U,America/Caracas,7.63,9.5,5,9,7,5.65,7.5,7.5,8,2.5,2.5,9,2,9,7,1.5,1.92,2,1.5,1.5,2,1.5,1.5,3.5,1.5,1,1,2,4,1339019,1,1,0,0,0,0,0.001552795,7.47E-05,0.085891003,0.001338429,0.000306294,0.000517598,0.001035197,false_positive,0.676
ANU,2874,V.C. Bird International Airport,Antigua,antigua and barbuda,TAPA,17.1367,-61.792702,62,-4,U,America/Antigua,3.63,3,3,3,5.5,3.05,4,2,3,1,3.5,1.5,3,6,5,1.5,4.33,4.5,5,5,5,3,4,4,2.5,5,4,4.5,5.5,95882,1,0,0,0,0,0,0.005175983,0.000253569,0.081795648,0.001084655,0.000250254,0.000517598,0.004658385,false_positive,0.52
FDF,2878,Martinique Aimé Césaire International Airport,Fort-de-france,martinique,TFFF,14.5909996,-61.00320053,16,-4,U,America/Martinique,5.5,5,6,5.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,6,5,5,7,6.5,5.5,6,6,5.5,6,5.5,5.5,6,90347,0,1,0,0,0,0,0.004658385,0.000501001,0.085194589,0.000629332,0.000380277,0.001552795,0.00310559,false_positive,0.84
